ZIP_CODE,WARD,PRECINCT,POLICE_DISTRICT,LICENSE_CODE,APPLICATION_TYPE,APPLICATION_REQUIREMENTS_COMPLETE,CONDITIONAL_APPROVAL,SSA,LATITUDE,LONGITUDE,LICENSE_STATUS,DAYS_TO_PAYMENT,TERM_LENGTH_DAYS,DAYS_TO_ISSUE,APP_YEAR,APP_MONTH,APP_DOW,DIST_TO_CENTER_KM
60462,Unknown,Unknown,Unknown,1011,ISSUE,2002-12-26T00:00:00,N,Unknown,41.70421734130132,-87.54340956017549,AAI,128,313,129,2002,11,5,10.216654411008577
60623,22.0,18.0,10.0,1011,RENEW,2007-06-21T00:00:00,N,Unknown,41.846329861,-87.71255140000001,AAC,-1,365,-1,0,0,0,11.293809639792126
60626,49.0,42.0,24.0,1012,RENEW,2012-08-15T00:00:00,N,24.0,42.01032638,-87.673320821,AAC,-1,729,-1,0,0,0,25.827333278275866
60408,Unknown,Unknown,Unknown,1010,ISSUE,2005-07-13T00:00:00,N,Unknown,41.70421734130132,-87.54340956017549,AAI,0,216,1,2005,7,2,10.216654411008577
60661,42.0,21.0,1.0,1010,RENEW,2011-03-15T00:00:00,N,Unknown,41.883803887,-87.641400814,AAC,-1,730,-1,0,0,0,11.532077045599724
60643,Unknown,Unknown,Unknown,1010,RENEW,2001-12-20T00:00:00,N,Unknown,41.70421734130132,-87.54340956017549,AAI,-1,364,-1,0,0,0,10.216654411008577
60469,Unknown,Unknown,Unknown,1011,RENEW,2006-12-20T00:00:00,N,Unknown,41.70421734130132,-87.54340956017549,AAI,-1,819,-1,0,0,0,10.216654411008577
60521,Unknown,Unknown,Unknown,1010,RENEW,2005-12-21T00:00:00,N,Unknown,41.70421734130132,-87.54340956017549,AAI,-1,364,-1,0,0,0,10.216654411008577
60623,12.0,57.0,10.0,1315,RENEW,2006-03-27T00:00:00,N,Unknown,41.851283127,-87.705092195,AAC,-1,364,-1,0,0,0,11.176949125754339
60626,49.0,32.0,24.0,1012,ISSUE,2003-07-25T00:00:00,N,54.0,42.002651095,-87.661723905,AAC,1,110,4,2003,7,3,24.79668366487108
78249,Unknown,Unknown,Unknown,1010,RENEW,2009-01-15T00:00:00,N,Unknown,41.70421734130132,-87.54340956017549,AAI,-1,729,-1,0,0,0,10.216654411008577
60610,27.0,28.0,18.0,1010,RENEW,2011-12-15T00:00:00,N,Unknown,41.897303739,-87.63480416799999,AAC,-1,730,-1,0,0,0,12.872958164292253
60103,Unknown,Unknown,Unknown,1525,RENEW,2002-12-17T00:00:00,N,Unknown,41.70421734130132,-87.54340956017549,AAI,-1,364,-1,0,0,0,10.216654411008577
60540,Unknown,Unknown,Unknown,1011,RENEW,2006-12-20T00:00:00,N,Unknown,41.70421734130132,-87.54340956017549,AAI,-1,454,-1,0,0,0,10.216654411008577
60062,Unknown,Unknown,Unknown,1525,ISSUE,2004-06-28T00:00:00,N,Unknown,41.70421734130132,-87.54340956017549,AAC,0,175,57,2004,6,0,10.216654411008577
60477,Unknown,Unknown,Unknown,1010,RENEW,2005-08-16T00:00:00,N,Unknown,41.70421734130132,-87.54340956017549,AAI,-1,364,-1,0,0,0,10.216654411008577
60603,42.0,9.0,1.0,1010,RENEW,2014-02-15T00:00:00,N,Unknown,41.879302729,-87.631002223,AAC,-1,730,-1,0,0,0,10.848217899622941
60707,Unknown,Unknown,Unknown,1605,ISSUE,2004-08-31T00:00:00,N,Unknown,41.937658383,-87.825007375,AAI,0,168,0,2004,8,1,24.98542550906862
60611.0,42.0,53.0,18.0,1020,RENEW,2011-01-14T00:00:00,N,Unknown,41.893299544,-87.62406469700001,AAC,-1,730,-1,0,0,0,12.29243294583188
60453,Unknown,Unknown,Unknown,1010,ISSUE,2007-04-02T00:00:00,N,Unknown,41.977436715,-87.713438969,AAI,0,744,0,2007,4,0,23.33431004151391
60639,36.0,7.0,25.0,1315,RENEW,2006-03-27T00:00:00,N,Unknown,41.918502148,-87.768069685,AAC,-1,364,-1,0,0,0,20.163683296094877
60153,Unknown,Unknown,Unknown,1010,RENEW,2002-12-17T00:00:00,N,Unknown,41.70421734130132,-87.54340956017549,AAI,-1,364,-1,0,0,0,10.216654411008577
60445,Unknown,Unknown,Unknown,1011,ISSUE,2005-04-05T00:00:00,N,Unknown,41.70421734130132,-87.54340956017549,AAI,5,315,6,2005,3,3,10.216654411008577
60452,Unknown,Unknown,Unknown,1010,ISSUE,2004-03-17T00:00:00,N,Unknown,41.70421734130132,-87.54340956017549,AAI,0,334,1,2004,3,2,10.216654411008577
60068,Unknown,Unknown,Unknown,1010,RENEW,2009-02-17T00:00:00,N,Unknown,41.70421734130132,-87.54340956017549,AAI,-1,729,-1,0,0,0,10.216654411008577
60647,32.0,19.0,14.0,1605,ISSUE,2012-04-05T00:00:00,N,Unknown,41.921603995,-87.703232071,AAC,0,740,0,2012,4,3,17.352353758259145
85253,Unknown,Unknown,Unknown,1010,RENEW,2006-12-20T00:00:00,N,Unknown,41.70421734130132,-87.54340956017549,AAI,-1,424,-1,0,0,0,10.216654411008577
60657,32.0,22.0,19.0,1012,ISSUE,2004-02-17T00:00:00,N,Unknown,41.94591889,-87.670196941,AAC,6,363,7,2004,2,2,18.82752348287273
19013,Unknown,Unknown,Unknown,1604,ISSUE,2003-07-11T00:00:00,N,Unknown,41.903025726,-87.76370888,AAI,0,219,0,2003,7,4,18.66429453914651
46375,Unknown,Unknown,Unknown,1010,RENEW,2006-12-20T00:00:00,N,Unknown,41.70421734130132,-87.54340956017549,AAI,-1,758,-1,0,0,0,10.216654411008577
60628,9.0,38.0,5.0,1010,RENEW,2007-07-23T00:00:00,N,Unknown,41.692638563,-87.61238749600001,AAC,-1,730,-1,0,0,0,10.135278944869045
60804,Unknown,Unknown,Unknown,1010,ISSUE,2012-05-22T00:00:00,N,Unknown,41.70421734130132,-87.54340956017549,AAI,0,754,0,2012,5,1,10.216654411008577
75243,Unknown,Unknown,Unknown,1010,RENEW,2004-12-20T00:00:00,N,Unknown,41.70421734130132,-87.54340956017549,AAC,-1,364,-1,0,0,0,10.216654411008577
60148,Unknown,Unknown,Unknown,1010,RENEW,2013-03-15T00:00:00,N,Unknown,41.70421734130132,-87.54340956017549,AAI,-1,729,-1,0,0,0,10.216654411008577
60647,1.0,10.0,14.0,1006,RENEW,2011-05-16T00:00:00,N,Unknown,41.923695255,-87.698408551,AAC,-1,730,-1,0,0,0,17.377345808042403
60604.0,42.0,9.0,1.0,1010,RENEW,2003-12-15T00:00:00,N,1.0,41.878341612,-87.626674991,AAI,-1,89,-1,0,0,0,10.678260163775018
60610,27.0,14.0,18.0,1524,RENEW,2006-12-20T00:00:00,N,Unknown,41.897338047,-87.63734543,AAC,-1,364,-1,0,0,0,12.91826925872309
60619,6.0,29.0,6.0,1012,RENEW,2012-08-15T00:00:00,N,Unknown,41.740289698000005,-87.62285726200001,AAC,-1,729,-1,0,0,0,5.034157728460503
60164,Unknown,Unknown,Unknown,1011,RENEW,2009-03-16T00:00:00,N,Unknown,41.70421734130132,-87.54340956017549,AAI,-1,729,-1,0,0,0,10.216654411008577
60438,Unknown,Unknown,Unknown,1010,RENEW,2001-12-20T00:00:00,N,Unknown,41.70421734130132,-87.54340956017549,AAI,-1,364,-1,0,0,0,10.216654411008577
60501.0,Unknown,Unknown,Unknown,1010,RENEW,2011-03-15T00:00:00,N,Unknown,41.70421734130132,-87.54340956017549,AAI,-1,730,-1,0,0,0,10.216654411008577
60619,8.0,39.0,3.0,1604,ISSUE,2010-06-25T00:00:00,N,Unknown,41.762101016,-87.604087521,AAC,0,751,0,2010,6,4,2.3967333370900907
60133,Unknown,Unknown,Unknown,1010,RENEW,2015-09-15T00:00:00,N,Unknown,41.70421734130132,-87.54340956017549,AAI,-1,730,-1,0,0,0,10.216654411008577
60193,Unknown,Unknown,Unknown,1010,RENEW,2001-12-20T00:00:00,N,Unknown,41.70421734130132,-87.54340956017549,AAI,-1,364,-1,0,0,0,10.216654411008577
60626.0,40.0,28.0,24.0,1010,RENEW,2008-08-15T00:00:00,N,Unknown,42.000910184,-87.671729701,AAI,-1,729,-1,0,0,0,24.77705043650849
60453,Unknown,Unknown,Unknown,1010,RENEW,2011-03-15T00:00:00,N,Unknown,41.70421734130132,-87.54340956017549,AAI,-1,730,-1,0,0,0,10.216654411008577
60123,Unknown,Unknown,Unknown,1604,ISSUE,2004-04-09T00:00:00,N,Unknown,41.70421734130132,-87.54340956017549,AAI,0,312,0,2004,4,4,10.216654411008577
60467,Unknown,Unknown,Unknown,1010,RENEW,2003-12-15T00:00:00,N,Unknown,41.70421734130132,-87.54340956017549,AAI,-1,365,-1,0,0,0,10.216654411008577
60018,Unknown,Unknown,Unknown,1060,RENEW,2002-12-17T00:00:00,N,43.0,41.997757252,-87.694707565,AAI,-1,364,-1,0,0,0,24.93211099344261
60120,Unknown,Unknown,Unknown,1842,ISSUE,2009-06-05T00:00:00,N,Unknown,41.70421734130132,-87.54340956017549,AAC,0,690,19,2009,6,4,10.216654411008577
60477,Unknown,Unknown,Unknown,1010,RENEW,2015-02-15T00:00:00,N,Unknown,41.70421734130132,-87.54340956017549,AAI,-1,730,-1,0,0,0,10.216654411008577
60634,38.0,12.0,16.0,1525,ISSUE,2004-11-09T00:00:00,N,Unknown,41.955178671,-87.78790422200001,AAC,0,340,31,2004,11,1,24.338848877266738
60707,Unknown,Unknown,Unknown,1010,RENEW,2006-12-20T00:00:00,N,Unknown,41.70421734130132,-87.54340956017549,AAC,-1,758,-1,0,0,0,10.216654411008577
60632,14.0,25.0,8.0,1010,ISSUE,2011-10-03T00:00:00,N,Unknown,41.800535726,-87.73169149700001,AAC,0,621,0,2011,10,0,10.642613430154736
60473,Unknown,Unknown,Unknown,1010,RENEW,2004-12-20T00:00:00,N,Unknown,41.70421734130132,-87.54340956017549,AAI,-1,364,-1,0,0,0,10.216654411008577
60174,Unknown,Unknown,Unknown,1010,RENEW,2005-12-21T00:00:00,N,Unknown,41.70421734130132,-87.54340956017549,AAI,-1,364,-1,0,0,0,10.216654411008577
60015,Unknown,Unknown,Unknown,1010,RENEW,2002-12-17T00:00:00,N,Unknown,41.70421734130132,-87.54340956017549,AAI,-1,364,-1,0,0,0,10.216654411008577
60134,Unknown,Unknown,Unknown,1010,RENEW,2008-03-24T00:00:00,N,Unknown,41.70421734130132,-87.54340956017549,AAI,-1,729,-1,0,0,0,10.216654411008577
60640,48.0,14.0,20.0,1605,ISSUE,2010-06-17T00:00:00,N,Unknown,41.977618791,-87.655168928,AAC,0,759,0,2010,6,3,21.960998818877126
53223,Unknown,Unknown,Unknown,1605,ISSUE,2010-04-07T00:00:00,N,Unknown,41.70421734130132,-87.54340956017549,AAI,0,739,0,2010,4,2,10.216654411008577
60642,1.0,35.0,12.0,1010,ISSUE,2008-05-07T00:00:00,N,29.0,41.89597063,-87.66689705600001,AAC,0,192,0,2008,5,2,13.49211371526439
60629,16.0,29.0,8.0,1010,ISSUE,2009-07-16T00:00:00,N,3.0,41.779344263,-87.685295863,AAC,1,820,1,2009,7,3,6.647271310585121
60639,36.0,12.0,25.0,1010,RENEW,2005-12-21T00:00:00,N,Unknown,41.917003658,-87.74910334,AAC,-1,364,-1,0,0,0,19.019122167757505
60654,Unknown,Unknown,Unknown,1010,RENEW,2005-03-23T00:00:00,N,Unknown,41.70421734130132,-87.54340956017549,AAI,-1,364,-1,0,0,0,10.216654411008577
60712,Unknown,Unknown,Unknown,1010,ISSUE,2002-05-31T00:00:00,N,Unknown,41.70421734130132,-87.54340956017549,AAI,0,233,27,2002,5,4,10.216654411008577
60419,Unknown,Unknown,Unknown,1010,RENEW,2002-12-17T00:00:00,N,Unknown,41.70421734130132,-87.54340956017549,AAI,-1,364,-1,0,0,0,10.216654411008577
60640,40.0,43.0,20.0,1584,RENEW,2006-12-20T00:00:00,N,Unknown,41.976251545,-87.67172460299999,AAC,-1,699,-1,0,0,0,22.11195918499483
60651,37.0,30.0,11.0,1010,RENEW,2011-09-15T00:00:00,N,Unknown,41.898515537,-87.73864441,AAC,-1,730,-1,0,0,0,16.885887778757485
60504,Unknown,Unknown,Unknown,1605,ISSUE,2004-07-02T00:00:00,N,Unknown,41.70421734130132,-87.54340956017549,AAI,0,228,0,2004,7,4,10.216654411008577
60630,35.0,31.0,17.0,1010,RENEW,2012-02-17T00:00:00,N,Unknown,41.963778356,-87.72775927,AAC,-1,729,-1,0,0,0,22.44968322192852
08512,Unknown,Unknown,Unknown,1010,RENEW,2005-12-21T00:00:00,N,Unknown,41.70421734130132,-87.54340956017549,AAI,-1,364,-1,0,0,0,10.216654411008577
60640,48.0,25.0,20.0,1012,ISSUE,2011-02-15T00:00:00,N,Unknown,41.971720073,-87.65262427399999,AAC,0,730,1,2011,2,1,21.277390602273258
60626.0,49.0,Unknown,Unknown,1010,ISSUE,2010-03-24T00:00:00,N,19.0,42.019474482,-87.669559429,AAI,-1,174,-1,0,0,0,26.75737645507972
60644.0,29.0,11.0,15.0,1011,RENEW,2003-12-15T00:00:00,N,Unknown,41.886172234,-87.771845418,AAI,-1,89,-1,0,0,0,17.89691547597218
60619,8.0,19.0,3.0,1604,RENEW,2005-09-22T00:00:00,N,Unknown,41.76102239,-87.58857412399999,AAC,-1,364,-1,0,0,0,2.8730437708304835
60606,42.0,12.0,1.0,1010,RENEW,2007-09-21T00:00:00,N,Unknown,41.881664289,-87.63888744399999,AAC,-1,304,-1,0,0,0,11.249211672066064
60649,7.0,17.0,4.0,1061,ISSUE,2011-01-10T00:00:00,N,49.0,41.751902817,-87.561533199,AAC,0,706,30,2011,1,0,5.064254526884063
21209,Unknown,Unknown,Unknown,1010,ISSUE,2012-05-09T00:00:00,N,Unknown,41.70421734130132,-87.54340956017549,AAI,-1,735,-1,0,0,0,10.216654411008577
60452,Unknown,Unknown,Unknown,1011,RENEW,2004-05-13T00:00:00,N,Unknown,41.70421734130132,-87.54340956017549,AAI,-1,365,-1,0,0,0,10.216654411008577
60126,Unknown,Unknown,Unknown,1010,RENEW,2014-01-15T00:00:00,N,23.0,41.925464234,-87.641184914,AAI,-1,730,-1,0,0,0,16.04773494660662
60461,Unknown,Unknown,Unknown,1010,RENEW,2014-09-15T00:00:00,N,Unknown,41.70421734130132,-87.54340956017549,AAI,-1,730,-1,0,0,0,10.216654411008577
